TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype ,eventdata 
18/07/2015 11:23:01,,,,,,https://www.udacity.com/wiki/cs046/code,Tab,Tab Switched
18/07/2015 11:23:01,,,,,,,Tab,Tab Closed [TabID:551]
18/07/2015 11:23:09,,,,,,,Window,Window maximized
18/07/2015 11:23:26,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-192345866,Tab,New Tab
18/07/2015 11:23:34,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-192345866/m-216299358,Tab,New Tab
18/07/2015 11:23:41,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769,Tab,New Tab
18/07/2015 11:23:41,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-192345866/m-216299358,Mouse,"MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
"
18/07/2015 11:23:41,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-192345866/m-216299358,Mouse,"MOUSE3: Mouse clicked! (439, 223) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (418, 418) A [Tag Name :A] undefined"
18/07/2015 11:23:46,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-188982564,Tab,New Tab
18/07/2015 11:25:10,,,,,,,Window,Window -Possible Minimize
18/07/2015 11:25:10,,,,,,,Window,Window maximized
18/07/2015 11:27:02,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-188982564,Mouse,"MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
 MOUSE2: [object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ :  [text]
[object HTMLInputElement]~ feedbackReason: other [radio]
"
18/07/2015 11:27:02,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-188982564,Mouse,"MOUSE3: Mouse clicked! (838, 296) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (838, 296) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (838, 296) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (257, 548) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (257, 548) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (257, 548) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (506, 378) PRE [Tag Name :PRE] undefined MOUSE3: Mouse clicked! (506, 378) PRE [Tag Name :PRE] undefined MOUSE3: Mouse clicked! (506, 378) PRE [Tag Name :PRE] undefined MOUSE3: Mouse clicked! (881, 596) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (881, 596) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (881, 596) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (881, 596) BUTTON [Tag Name :BUTTON]  MOUSE3: Mouse clicked! (881, 596) BUTTON [Tag Name :BUTTON] "
18/07/2015 11:27:02,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-188982564,Selected,// TODO: Complete this constructor // TODO: Complete this constructor // TODO: Complete this constructor
18/07/2015 11:27:02,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Tab,New Tab
18/07/2015 11:29:32,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,idle
18/07/2015 11:29:32,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Mouse,"MOUSE3: Mouse clicked! (552, 709) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (552, 709) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (552, 709) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (552, 709) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (552, 709) DIV [Tag Name :DIV] undefined"
18/07/2015 11:29:51,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,active
18/07/2015 11:31:08,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,idle
18/07/2015 11:37:48,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,idle
18/07/2015 11:41:43,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,active
18/07/2015 11:42:52,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,idle
18/07/2015 11:44:55,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,active
18/07/2015 11:48:31,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,idle
18/07/2015 11:48:32,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-183784769/e-186954476/m-186954478,Screen,active
18/07/2015 14:50:57,,,,,,,Tab,Tab Closed [TabID:587]
18/07/2015 14:50:57,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Tab,Tab Switched
